time (msec),x axis,y axis,z axis
7620,4160,-16144,-2128
7630,3896,-16192,-2348
7640,3740,-16424,-1844
7650,3520,-16292,-1752
7660,3768,-16036,-1796
7670,3920,-16060,-1896
7680,4112,-16224,-2044
7690,4148,-16048,-1944
7700,4208,-16116,-1940
7710,4276,-15980,-1848
7720,4472,-16232,-2004
7730,4444,-15796,-2056
7740,4428,-15940,-1916
7750,4288,-15996,-1804
7760,4276,-16152,-1780
7770,4308,-15900,-2080
7780,4044,-16176,-1888
7790,4208,-15816,-2088
7800,4000,-15928,-2148
7810,4140,-15872,-2008
7820,4136,-15876,-2124
7830,4192,-15876,-1872
7840,4136,-15680,-2020
7850,4268,-15620,-1912
7860,4352,-15680,-2100
7870,4492,-15588,-2176
7880,4504,-15540,-2144
7890,4444,-15748,-2116
7900,4416,-15924,-1756
7910,4216,-16032,-2096
7920,4312,-15980,-1956
7930,4504,-15816,-2124
7940,4488,-15972,-2148
7950,4468,-15988,-2420
7960,4324,-16260,-2680
7970,4332,-16300,-2292
7980,4276,-16176,-2676
7990,4064,-16100,-2236
8000,4296,-16364,-2328
8010,3992,-16540,-2392
8020,4132,-16268,-2380
8030,4132,-16500,-2404
8040,4424,-16532,-2396
8050,4652,-16856,-2596
8060,4472,-16832,-2508
8070,4520,-16732,-2572
8080,4492,-16536,-2268
8090,4576,-16604,-2264
8100,4488,-16640,-2252
8110,4412,-16584,-2320
8120,4396,-16484,-2508
8130,4308,-16288,-2092
8140,4636,-16164,-2016
8150,4452,-16048,-2212
8160,4560,-16428,-2232
8170,4480,-16556,-2068
8180,4536,-16592,-1724
8190,4516,-16332,-2212
8200,4152,-16476,-1292
8210,4464,-16604,-1536
8220,4148,-16756,-1564
8230,4480,-16616,-1508
8240,4444,-16868,-1476
8250,4352,-16892,-1156
8260,4248,-16276,-1648
8270,4504,-16520,-1148
8280,4432,-16840,-1276
8290,4564,-16692,-1092
8300,4500,-16372,-968
8310,4336,-16104,-1240
8320,4300,-16456,-1144
8330,4400,-16716,-648
8340,4264,-16564,-876
8350,4372,-16740,-940
8360,4304,-16948,-528
8370,4244,-17168,184
8380,4100,-17148,36
8390,3980,-17096,248
8400,3964,-16752,20
8410,4484,-16272,708
